country_name_short,election_type,election_date,country_name,subcategory,date
AUS,parliament,1901-03-30,Australia,parliament,1901-03-30
AUS,parliament,1903-12-16,Australia,parliament,1903-12-16
AUS,parliament,1906-12-02,Australia,parliament,1906-12-02
AUS,parliament,1910-04-13,Australia,parliament,1910-04-13
AUS,parliament,1913-05-31,Australia,parliament,1913-05-31
AUS,parliament,1914-09-05,Australia,parliament,1914-09-05
AUS,parliament,1917-05-05,Australia,parliament,1917-05-05
AUS,parliament,1919-12-13,Australia,parliament,1919-12-13
AUS,parliament,1922-12-16,Australia,parliament,1922-12-16
AUS,parliament,1925-11-14,Australia,parliament,1925-11-14
AUS,parliament,1928-11-17,Australia,parliament,1928-11-17
AUS,parliament,1929-10-12,Australia,parliament,1929-10-12
AUS,parliament,1931-12-19,Australia,parliament,1931-12-19
AUS,parliament,1934-09-15,Australia,parliament,1934-09-15
AUS,parliament,1937-10-23,Australia,parliament,1937-10-23
AUS,parliament,1940-09-21,Australia,parliament,1940-09-21
AUS,parliament,1943-08-21,Australia,parliament,1943-08-21
AUS,parliament,1946-09-28,Australia,parliament,1946-09-28
AUS,parliament,1949-12-10,Australia,parliament,1949-12-10
AUS,parliament,1951-04-28,Australia,parliament,1951-04-28
AUS,parliament,1954-05-29,Australia,parliament,1954-05-29
AUS,parliament,1955-12-10,Australia,parliament,1955-12-10
AUS,parliament,1958-11-22,Australia,parliament,1958-11-22
AUS,parliament,1961-12-09,Australia,parliament,1961-12-09
AUS,parliament,1963-11-30,Australia,parliament,1963-11-30
AUS,parliament,1966-11-26,Australia,parliament,1966-11-26
AUS,parliament,1969-10-25,Australia,parliament,1969-10-25
AUS,parliament,1972-12-02,Australia,parliament,1972-12-02
AUS,parliament,1974-05-18,Australia,parliament,1974-05-18
AUS,parliament,1975-12-13,Australia,parliament,1975-12-13
AUS,parliament,1977-12-10,Australia,parliament,1977-12-10
AUS,parliament,1980-10-18,Australia,parliament,1980-10-18
AUS,parliament,1983-03-05,Australia,parliament,1983-03-05
AUS,parliament,1984-12-01,Australia,parliament,1984-12-01
AUS,parliament,1987-07-11,Australia,parliament,1987-07-11
AUS,parliament,1990-03-24,Australia,parliament,1990-03-24
AUS,parliament,1993-03-13,Australia,parliament,1993-03-13
AUS,parliament,1996-03-02,Australia,parliament,1996-03-02
AUS,parliament,1998-10-03,Australia,parliament,1998-10-03
AUS,parliament,2001-11-10,Australia,parliament,2001-11-10
AUS,parliament,2004-10-09,Australia,parliament,2004-10-09
AUS,parliament,2007-11-24,Australia,parliament,2007-11-24
AUS,parliament,2010-08-21,Australia,parliament,2010-08-21
AUS,parliament,2013-09-07,Australia,parliament,2013-09-07
AUS,parliament,2016-07-02,Australia,parliament,2016-07-02
AUS,parliament,2019-05-18,Australia,parliament,2019-05-18
AUT,ep,1995-01-01,Austria,ep,1995-01-01
AUT,ep,1996-10-13,Austria,ep,1996-10-13
AUT,ep,1999-06-13,Austria,ep,1999-06-13
AUT,ep,2004-06-13,Austria,ep,2004-06-13
AUT,ep,2009-06-07,Austria,ep,2009-06-07
AUT,ep,2014-05-25,Austria,ep,2014-05-25
AUT,ep,2019-05-26,Austria,ep,2019-05-26
AUT,parliament,1919-02-16,Austria,parliament,1919-02-16
AUT,parliament,1920-10-17,Austria,parliament,1920-10-17
AUT,parliament,1923-10-21,Austria,parliament,1923-10-21
AUT,parliament,1927-04-24,Austria,parliament,1927-04-24
AUT,parliament,1930-11-09,Austria,parliament,1930-11-09
AUT,parliament,1945-11-25,Austria,parliament,1945-11-25
AUT,parliament,1949-10-09,Austria,parliament,1949-10-09
AUT,parliament,1953-02-22,Austria,parliament,1953-02-22
AUT,parliament,1956-05-13,Austria,parliament,1956-05-13
AUT,parliament,1959-05-10,Austria,parliament,1959-05-10
AUT,parliament,1962-11-18,Austria,parliament,1962-11-18
AUT,parliament,1966-03-06,Austria,parliament,1966-03-06
AUT,parliament,1970-03-01,Austria,parliament,1970-03-01
AUT,parliament,1971-10-10,Austria,parliament,1971-10-10
AUT,parliament,1975-10-05,Austria,parliament,1975-10-05
AUT,parliament,1979-05-06,Austria,parliament,1979-05-06
AUT,parliament,1983-04-24,Austria,parliament,1983-04-24
AUT,parliament,1986-11-23,Austria,parliament,1986-11-23
AUT,parliament,1990-10-07,Austria,parliament,1990-10-07
AUT,parliament,1994-10-09,Austria,parliament,1994-10-09
AUT,parliament,1995-12-17,Austria,parliament,1995-12-17
AUT,parliament,1999-10-03,Austria,parliament,1999-10-03
AUT,parliament,2002-11-24,Austria,parliament,2002-11-24
AUT,parliament,2006-10-01,Austria,parliament,2006-10-01
AUT,parliament,2008-09-28,Austria,parliament,2008-09-28
AUT,parliament,2013-09-29,Austria,parliament,2013-09-29
AUT,parliament,2017-10-15,Austria,parliament,2017-10-15
AUT,parliament,2019-09-29,Austria,parliament,2019-09-29
BEL,ep,1979-06-10,Belgium,ep,1979-06-10
BEL,ep,1984-06-17,Belgium,ep,1984-06-17
BEL,ep,1989-06-18,Belgium,ep,1989-06-18
BEL,ep,1994-06-12,Belgium,ep,1994-06-12
BEL,ep,1999-06-13,Belgium,ep,1999-06-13
BEL,ep,2004-06-13,Belgium,ep,2004-06-13
BEL,ep,2009-06-07,Belgium,ep,2009-06-07
BEL,ep,2014-05-25,Belgium,ep,2014-05-25
BEL,ep,2019-05-26,Belgium,ep,2019-05-26
BEL,parliament,1900-05-27,Belgium,parliament,1900-05-27
BEL,parliament,1902-05-25,Belgium,parliament,1902-05-25
BEL,parliament,1904-05-29,Belgium,parliament,1904-05-29
BEL,parliament,1906-05-27,Belgium,parliament,1906-05-27
BEL,parliament,1908-05-24,Belgium,parliament,1908-05-24
BEL,parliament,1910-05-22,Belgium,parliament,1910-05-22
BEL,parliament,1912-06-02,Belgium,parliament,1912-06-02
BEL,parliament,1914-05-24,Belgium,parliament,1914-05-24
BEL,parliament,1919-11-16,Belgium,parliament,1919-11-16
BEL,parliament,1921-11-20,Belgium,parliament,1921-11-20
BEL,parliament,1925-08-05,Belgium,parliament,1925-08-05
BEL,parliament,1929-05-25,Belgium,parliament,1929-05-25
BEL,parliament,1932-11-27,Belgium,parliament,1932-11-27
BEL,parliament,1936-05-24,Belgium,parliament,1936-05-24
BEL,parliament,1939-04-02,Belgium,parliament,1939-04-02
BEL,parliament,1946-02-17,Belgium,parliament,1946-02-17
BEL,parliament,1949-06-26,Belgium,parliament,1949-06-26
BEL,parliament,1950-06-04,Belgium,parliament,1950-06-04
BEL,parliament,1954-04-11,Belgium,parliament,1954-04-11
BEL,parliament,1958-06-01,Belgium,parliament,1958-06-01
BEL,parliament,1961-03-26,Belgium,parliament,1961-03-26
BEL,parliament,1965-05-23,Belgium,parliament,1965-05-23
BEL,parliament,1968-03-31,Belgium,parliament,1968-03-31
BEL,parliament,1971-11-07,Belgium,parliament,1971-11-07
BEL,parliament,1974-03-10,Belgium,parliament,1974-03-10
BEL,parliament,1977-04-17,Belgium,parliament,1977-04-17
BEL,parliament,1978-12-17,Belgium,parliament,1978-12-17
BEL,parliament,1981-11-08,Belgium,parliament,1981-11-08
BEL,parliament,1985-10-13,Belgium,parliament,1985-10-13
BEL,parliament,1987-12-13,Belgium,parliament,1987-12-13
BEL,parliament,1991-11-24,Belgium,parliament,1991-11-24
BEL,parliament,1995-05-21,Belgium,parliament,1995-05-21
BEL,parliament,1999-06-13,Belgium,parliament,1999-06-13
BEL,parliament,2003-05-18,Belgium,parliament,2003-05-18
BEL,parliament,2007-06-10,Belgium,parliament,2007-06-10
BEL,parliament,2010-06-13,Belgium,parliament,2010-06-13
BEL,parliament,2014-05-25,Belgium,parliament,2014-05-25
BEL,parliament,2019-05-26,Belgium,parliament,2019-05-26
BGR,ep,2007-01-01,Bulgaria,ep,2007-01-01
BGR,ep,2007-05-20,Bulgaria,ep,2007-05-20
BGR,ep,2009-06-07,Bulgaria,ep,2009-06-07
BGR,ep,2014-05-25,Bulgaria,ep,2014-05-25
BGR,ep,2019-05-26,Bulgaria,ep,2019-05-26
BGR,parliament,1991-10-13,Bulgaria,parliament,1991-10-13
BGR,parliament,1994-12-18,Bulgaria,parliament,1994-12-18
BGR,parliament,1997-04-19,Bulgaria,parliament,1997-04-19
BGR,parliament,2001-06-18,Bulgaria,parliament,2001-06-18
BGR,parliament,2005-06-25,Bulgaria,parliament,2005-06-25
BGR,parliament,2009-07-05,Bulgaria,parliament,2009-07-05
BGR,parliament,2013-05-12,Bulgaria,parliament,2013-05-12
BGR,parliament,2014-10-05,Bulgaria,parliament,2014-10-05
BGR,parliament,2017-03-26,Bulgaria,parliament,2017-03-26
CAN,parliament,1900-11-07,Canada,parliament,1900-11-07
CAN,parliament,1904-11-03,Canada,parliament,1904-11-03
CAN,parliament,1908-10-26,Canada,parliament,1908-10-26
CAN,parliament,1911-09-21,Canada,parliament,1911-09-21
CAN,parliament,1917-12-17,Canada,parliament,1917-12-17
CAN,parliament,1921-12-06,Canada,parliament,1921-12-06
CAN,parliament,1925-10-29,Canada,parliament,1925-10-29
CAN,parliament,1926-09-14,Canada,parliament,1926-09-14
CAN,parliament,1930-07-28,Canada,parliament,1930-07-28
CAN,parliament,1935-10-14,Canada,parliament,1935-10-14
CAN,parliament,1940-03-26,Canada,parliament,1940-03-26
CAN,parliament,1945-06-11,Canada,parliament,1945-06-11
CAN,parliament,1949-06-27,Canada,parliament,1949-06-27
CAN,parliament,1953-08-10,Canada,parliament,1953-08-10
CAN,parliament,1957-06-10,Canada,parliament,1957-06-10
CAN,parliament,1958-03-31,Canada,parliament,1958-03-31
CAN,parliament,1962-06-18,Canada,parliament,1962-06-18
CAN,parliament,1963-04-08,Canada,parliament,1963-04-08
CAN,parliament,1965-11-08,Canada,parliament,1965-11-08
CAN,parliament,1968-06-25,Canada,parliament,1968-06-25
CAN,parliament,1972-10-30,Canada,parliament,1972-10-30
CAN,parliament,1974-07-08,Canada,parliament,1974-07-08
CAN,parliament,1979-05-22,Canada,parliament,1979-05-22
CAN,parliament,1980-02-18,Canada,parliament,1980-02-18
CAN,parliament,1984-09-04,Canada,parliament,1984-09-04
CAN,parliament,1988-11-21,Canada,parliament,1988-11-21
CAN,parliament,1993-10-25,Canada,parliament,1993-10-25
CAN,parliament,1997-06-02,Canada,parliament,1997-06-02
CAN,parliament,2000-11-27,Canada,parliament,2000-11-27
CAN,parliament,2004-06-28,Canada,parliament,2004-06-28
CAN,parliament,2006-01-23,Canada,parliament,2006-01-23
CAN,parliament,2008-10-14,Canada,parliament,2008-10-14
CAN,parliament,2011-05-02,Canada,parliament,2011-05-02
CAN,parliament,2015-10-19,Canada,parliament,2015-10-19
CAN,parliament,2019-10-21,Canada,parliament,2019-10-21
CHE,parliament,1902-10-26,Switzerland,parliament,1902-10-26
CHE,parliament,1905-10-29,Switzerland,parliament,1905-10-29
CHE,parliament,1908-10-25,Switzerland,parliament,1908-10-25
CHE,parliament,1911-10-29,Switzerland,parliament,1911-10-29
CHE,parliament,1914-10-25,Switzerland,parliament,1914-10-25
CHE,parliament,1917-10-28,Switzerland,parliament,1917-10-28
CHE,parliament,1919-10-26,Switzerland,parliament,1919-10-26
CHE,parliament,1922-10-29,Switzerland,parliament,1922-10-29
CHE,parliament,1925-10-25,Switzerland,parliament,1925-10-25
CHE,parliament,1928-10-28,Switzerland,parliament,1928-10-28
CHE,parliament,1931-10-25,Switzerland,parliament,1931-10-25
CHE,parliament,1935-10-27,Switzerland,parliament,1935-10-27
CHE,parliament,1939-10-29,Switzerland,parliament,1939-10-29
CHE,parliament,1943-10-31,Switzerland,parliament,1943-10-31
CHE,parliament,1947-10-26,Switzerland,parliament,1947-10-26
CHE,parliament,1951-10-28,Switzerland,parliament,1951-10-28
CHE,parliament,1955-10-30,Switzerland,parliament,1955-10-30
CHE,parliament,1959-10-25,Switzerland,parliament,1959-10-25
CHE,parliament,1963-10-27,Switzerland,parliament,1963-10-27
CHE,parliament,1967-10-29,Switzerland,parliament,1967-10-29
CHE,parliament,1971-10-31,Switzerland,parliament,1971-10-31
CHE,parliament,1975-10-26,Switzerland,parliament,1975-10-26
CHE,parliament,1979-10-21,Switzerland,parliament,1979-10-21
CHE,parliament,1983-10-23,Switzerland,parliament,1983-10-23
CHE,parliament,1987-10-18,Switzerland,parliament,1987-10-18
CHE,parliament,1991-10-20,Switzerland,parliament,1991-10-20
CHE,parliament,1995-10-22,Switzerland,parliament,1995-10-22
CHE,parliament,1999-10-24,Switzerland,parliament,1999-10-24
CHE,parliament,2003-10-19,Switzerland,parliament,2003-10-19
CHE,parliament,2007-10-21,Switzerland,parliament,2007-10-21
CHE,parliament,2011-10-23,Switzerland,parliament,2011-10-23
CHE,parliament,2015-10-18,Switzerland,parliament,2015-10-18
CHE,parliament,2019-10-20,Switzerland,parliament,2019-10-20
CYP,ep,2004-06-13,Cyprus,ep,2004-06-13
CYP,ep,2009-06-06,Cyprus,ep,2009-06-06
CYP,ep,2014-05-25,Cyprus,ep,2014-05-25
CYP,ep,2019-05-26,Cyprus,ep,2019-05-26
CYP,parliament,1976-09-05,Cyprus,parliament,1976-09-05
CYP,parliament,1981-05-24,Cyprus,parliament,1981-05-24
CYP,parliament,1985-12-08,Cyprus,parliament,1985-12-08
CYP,parliament,1991-05-19,Cyprus,parliament,1991-05-19
CYP,parliament,1996-05-26,Cyprus,parliament,1996-05-26
CYP,parliament,2001-05-27,Cyprus,parliament,2001-05-27
CYP,parliament,2006-05-21,Cyprus,parliament,2006-05-21
CYP,parliament,2011-05-22,Cyprus,parliament,2011-05-22
CYP,parliament,2016-05-22,Cyprus,parliament,2016-05-22
CZE,ep,2004-06-12,Czech Republic,ep,2004-06-12
CZE,ep,2009-06-07,Czech Republic,ep,2009-06-07
CZE,ep,2014-05-24,Czech Republic,ep,2014-05-24
CZE,ep,2019-05-25,Czech Republic,ep,2019-05-25
CZE,parliament,1990-06-09,Czech Republic,parliament,1990-06-09
CZE,parliament,1992-06-06,Czech Republic,parliament,1992-06-06
CZE,parliament,1996-06-01,Czech Republic,parliament,1996-06-01
CZE,parliament,1998-06-20,Czech Republic,parliament,1998-06-20
CZE,parliament,2002-06-15,Czech Republic,parliament,2002-06-15
CZE,parliament,2006-06-03,Czech Republic,parliament,2006-06-03
CZE,parliament,2010-05-29,Czech Republic,parliament,2010-05-29
CZE,parliament,2013-10-25,Czech Republic,parliament,2013-10-25
CZE,parliament,2017-10-21,Czech Republic,parliament,2017-10-21
DEU,ep,1979-06-10,Germany,ep,1979-06-10
DEU,ep,1984-06-17,Germany,ep,1984-06-17
DEU,ep,1989-06-18,Germany,ep,1989-06-18
DEU,ep,1994-06-12,Germany,ep,1994-06-12
DEU,ep,1999-06-13,Germany,ep,1999-06-13
DEU,ep,2004-06-13,Germany,ep,2004-06-13
DEU,ep,2009-06-07,Germany,ep,2009-06-07
DEU,ep,2014-05-25,Germany,ep,2014-05-25
DEU,ep,2019-05-26,Germany,ep,2019-05-26
DEU,parliament,1919-01-19,Germany,parliament,1919-01-19
DEU,parliament,1920-06-06,Germany,parliament,1920-06-06
DEU,parliament,1924-05-04,Germany,parliament,1924-05-04
DEU,parliament,1924-12-07,Germany,parliament,1924-12-07
DEU,parliament,1928-05-20,Germany,parliament,1928-05-20
DEU,parliament,1930-09-14,Germany,parliament,1930-09-14
DEU,parliament,1932-07-31,Germany,parliament,1932-07-31
DEU,parliament,1932-11-06,Germany,parliament,1932-11-06
DEU,parliament,1933-03-05,Germany,parliament,1933-03-05
DEU,parliament,1949-08-14,Germany,parliament,1949-08-14
DEU,parliament,1953-09-06,Germany,parliament,1953-09-06
DEU,parliament,1957-09-15,Germany,parliament,1957-09-15
DEU,parliament,1961-09-17,Germany,parliament,1961-09-17
DEU,parliament,1965-09-19,Germany,parliament,1965-09-19
DEU,parliament,1969-09-28,Germany,parliament,1969-09-28
DEU,parliament,1972-11-19,Germany,parliament,1972-11-19
DEU,parliament,1976-10-03,Germany,parliament,1976-10-03
DEU,parliament,1980-10-05,Germany,parliament,1980-10-05
DEU,parliament,1983-03-06,Germany,parliament,1983-03-06
DEU,parliament,1987-01-25,Germany,parliament,1987-01-25
DEU,parliament,1990-12-02,Germany,parliament,1990-12-02
DEU,parliament,1994-10-16,Germany,parliament,1994-10-16
DEU,parliament,1998-09-27,Germany,parliament,1998-09-27
DEU,parliament,2002-09-22,Germany,parliament,2002-09-22
DEU,parliament,2005-09-18,Germany,parliament,2005-09-18
DEU,parliament,2009-09-27,Germany,parliament,2009-09-27
DEU,parliament,2013-09-22,Germany,parliament,2013-09-22
DEU,parliament,2017-09-24,Germany,parliament,2017-09-24
DNK,ep,1979-06-10,Denmark,ep,1979-06-10
DNK,ep,1984-06-17,Denmark,ep,1984-06-17
DNK,ep,1989-06-18,Denmark,ep,1989-06-18
DNK,ep,1994-06-12,Denmark,ep,1994-06-12
DNK,ep,1999-06-13,Denmark,ep,1999-06-13
DNK,ep,2004-06-13,Denmark,ep,2004-06-13
DNK,ep,2009-06-07,Denmark,ep,2009-06-07
DNK,ep,2014-05-25,Denmark,ep,2014-05-25
DNK,ep,2019-05-26,Denmark,ep,2019-05-26
DNK,parliament,1901-04-03,Denmark,parliament,1901-04-03
DNK,parliament,1903-06-16,Denmark,parliament,1903-06-16
DNK,parliament,1906-05-29,Denmark,parliament,1906-05-29
DNK,parliament,1909-05-25,Denmark,parliament,1909-05-25
DNK,parliament,1910-05-20,Denmark,parliament,1910-05-20
DNK,parliament,1913-05-20,Denmark,parliament,1913-05-20
DNK,parliament,1915-05-07,Denmark,parliament,1915-05-07
DNK,parliament,1918-04-22,Denmark,parliament,1918-04-22
DNK,parliament,1920-04-26,Denmark,parliament,1920-04-26
DNK,parliament,1920-07-06,Denmark,parliament,1920-07-06
DNK,parliament,1920-09-21,Denmark,parliament,1920-09-21
DNK,parliament,1924-04-11,Denmark,parliament,1924-04-11
DNK,parliament,1926-12-02,Denmark,parliament,1926-12-02
DNK,parliament,1929-04-02,Denmark,parliament,1929-04-02
DNK,parliament,1932-11-16,Denmark,parliament,1932-11-16
DNK,parliament,1935-10-22,Denmark,parliament,1935-10-22
DNK,parliament,1939-04-03,Denmark,parliament,1939-04-03
DNK,parliament,1943-03-23,Denmark,parliament,1943-03-23
DNK,parliament,1945-10-30,Denmark,parliament,1945-10-30
DNK,parliament,1947-10-28,Denmark,parliament,1947-10-28
DNK,parliament,1950-09-05,Denmark,parliament,1950-09-05
DNK,parliament,1953-04-21,Denmark,parliament,1953-04-21
DNK,parliament,1953-09-22,Denmark,parliament,1953-09-22
DNK,parliament,1957-05-14,Denmark,parliament,1957-05-14
DNK,parliament,1960-11-15,Denmark,parliament,1960-11-15
DNK,parliament,1964-09-22,Denmark,parliament,1964-09-22
DNK,parliament,1966-11-22,Denmark,parliament,1966-11-22
DNK,parliament,1968-01-23,Denmark,parliament,1968-01-23
DNK,parliament,1971-09-21,Denmark,parliament,1971-09-21
DNK,parliament,1973-12-04,Denmark,parliament,1973-12-04
DNK,parliament,1975-01-09,Denmark,parliament,1975-01-09
DNK,parliament,1977-02-15,Denmark,parliament,1977-02-15
DNK,parliament,1979-10-23,Denmark,parliament,1979-10-23
DNK,parliament,1981-12-08,Denmark,parliament,1981-12-08
DNK,parliament,1984-01-10,Denmark,parliament,1984-01-10
DNK,parliament,1987-09-08,Denmark,parliament,1987-09-08
DNK,parliament,1988-05-10,Denmark,parliament,1988-05-10
DNK,parliament,1990-12-12,Denmark,parliament,1990-12-12
DNK,parliament,1994-09-21,Denmark,parliament,1994-09-21
DNK,parliament,1998-03-11,Denmark,parliament,1998-03-11
DNK,parliament,2001-11-20,Denmark,parliament,2001-11-20
DNK,parliament,2005-02-08,Denmark,parliament,2005-02-08
DNK,parliament,2007-11-13,Denmark,parliament,2007-11-13
DNK,parliament,2011-09-15,Denmark,parliament,2011-09-15
